observation_date,IRLTCT01USM156N
1960-01-01,4.370000000
1960-02-01,4.220000000
1960-03-01,4.080000000
1960-04-01,4.170000000
1960-05-01,4.160000000
1960-06-01,3.990000000
1960-07-01,3.860000000
1960-08-01,3.790000000
1960-09-01,3.820000000
1960-10-01,3.910000000
1960-11-01,3.930000000
1960-12-01,3.880000000
1961-01-01,3.890000000
1961-02-01,3.810000000
1961-03-01,3.780000000
1961-04-01,3.800000000
1961-05-01,3.730000000
1961-06-01,3.880000000
1961-07-01,3.900000000
1961-08-01,4.000000000
1961-09-01,4.020000000
1961-10-01,3.980000000
1961-11-01,3.980000000
1961-12-01,4.060000000
1962-01-01,4.080000000
1962-02-01,4.090000000
1962-03-01,4.010000000
1962-04-01,3.890000000
1962-05-01,3.880000000
1962-06-01,3.900000000
1962-07-01,4.020000000
1962-08-01,3.970000000
1962-09-01,3.940000000
1962-10-01,3.890000000
1962-11-01,3.870000000
1962-12-01,3.870000000
1963-01-01,3.880000000
1963-02-01,3.920000000
1963-03-01,3.930000000
1963-04-01,3.970000000
1963-05-01,3.970000000
1963-06-01,4.000000000
1963-07-01,4.010000000
1963-08-01,3.990000000
1963-09-01,4.040000000
1963-10-01,4.070000000
1963-11-01,4.100000000
1963-12-01,4.140000000
1964-01-01,4.150000000
1964-02-01,4.140000000
1964-03-01,4.180000000
1964-04-01,4.200000000
1964-05-01,4.160000000
1964-06-01,4.130000000
1964-07-01,4.130000000
1964-08-01,4.140000000
1964-09-01,4.160000000
1964-10-01,4.160000000
1964-11-01,4.120000000
1964-12-01,4.140000000
1965-01-01,4.140000000
1965-02-01,4.160000000
1965-03-01,4.150000000
1965-04-01,4.150000000
1965-05-01,4.140000000
1965-06-01,4.140000000
1965-07-01,4.150000000
1965-08-01,4.190000000
1965-09-01,4.250000000
1965-10-01,4.270000000
1965-11-01,4.340000000
1965-12-01,4.430000000
1966-01-01,4.430000000
1966-02-01,4.610000000
1966-03-01,4.630000000
1966-04-01,4.550000000
1966-05-01,4.570000000
1966-06-01,4.630000000
1966-07-01,4.740000000
1966-08-01,4.800000000
1966-09-01,4.790000000
1966-10-01,4.700000000
1966-11-01,4.740000000
1966-12-01,4.650000000
1967-01-01,4.400000000
1967-02-01,4.470000000
1967-03-01,4.450000000
1967-04-01,4.510000000
1967-05-01,4.760000000
1967-06-01,4.860000000
1967-07-01,4.860000000
1967-08-01,4.950000000
1967-09-01,4.990000000
1967-10-01,5.180000000
1967-11-01,5.440000000
1967-12-01,5.360000000
1968-01-01,5.180000000
1968-02-01,5.160000000
1968-03-01,5.390000000
1968-04-01,5.280000000
1968-05-01,5.400000000
1968-06-01,5.230000000
1968-07-01,5.090000000
1968-08-01,5.040000000
1968-09-01,5.090000000
1968-10-01,5.240000000
1968-11-01,5.360000000
1968-12-01,5.660000000
1969-01-01,5.740000000
1969-02-01,5.860000000
1969-03-01,6.050000000
1969-04-01,5.840000000
1969-05-01,5.850000000
1969-06-01,6.050000000
1969-07-01,6.070000000
1969-08-01,6.020000000
1969-09-01,6.320000000
1969-10-01,6.270000000
1969-11-01,6.520000000
1969-12-01,6.810000000
1970-01-01,6.860000000
1970-02-01,6.440000000
1970-03-01,6.390000000
1970-04-01,6.530000000
1970-05-01,6.940000000
1970-06-01,6.990000000
1970-07-01,6.570000000
1970-08-01,6.750000000
1970-09-01,6.630000000
1970-10-01,6.590000000
1970-11-01,6.240000000
1970-12-01,5.970000000
1971-01-01,5.920000000
1971-02-01,5.840000000
1971-03-01,5.710000000
1971-04-01,5.750000000
1971-05-01,5.960000000
1971-06-01,5.940000000
1971-07-01,5.910000000
1971-08-01,5.780000000
1971-09-01,5.560000000
1971-10-01,5.460000000
1971-11-01,5.480000000
1971-12-01,5.620000000
1972-01-01,5.620000000
1972-02-01,5.670000000
1972-03-01,5.660000000
1972-04-01,5.740000000
1972-05-01,5.640000000
1972-06-01,5.590000000
1972-07-01,5.590000000
1972-08-01,5.590000000
1972-09-01,5.700000000
1972-10-01,5.690000000
1972-11-01,5.510000000
1972-12-01,5.630000000
1973-01-01,5.960000000
1973-02-01,6.140000000
1973-03-01,6.200000000
1973-04-01,6.110000000
1973-05-01,6.250000000
1973-06-01,6.320000000
1973-07-01,6.530000000
1973-08-01,6.850000000
1973-09-01,6.410000000
1973-10-01,6.250000000
1973-11-01,6.300000000
1973-12-01,6.350000000
1974-01-01,6.560000000
1974-02-01,6.540000000
1974-03-01,6.810000000
1974-04-01,7.040000000
1974-05-01,7.090000000
1974-06-01,7.020000000
1974-07-01,7.180000000
1974-08-01,7.330000000
1974-09-01,7.300000000
1974-10-01,7.220000000
1974-11-01,6.930000000
1974-12-01,6.770000000
1975-01-01,6.680000000
1975-02-01,6.660000000
