Date,Mkt-RF,SMB,HML,RMW,CMA,RF
1990-07   ,-1.60   ,-2.73   ,-0.75    ,0.17    ,2.23    ,0.68
1990-08   ,-9.66   ,-2.98    ,0.96   ,-1.35    ,3.13    ,0.66
1990-09   ,-6.10   ,-2.96    ,0.32    ,1.44    ,4.02    ,0.60
1990-10   ,-2.06   ,-4.33   ,-1.37    ,4.22    ,0.87    ,0.68
1990-11    ,5.93    ,0.04   ,-1.79   ,-0.05   ,-4.51    ,0.57
1990-12    ,2.51    ,1.45   ,-1.08    ,1.17   ,-2.64    ,0.60
1991-01    ,4.27    ,2.69   ,-0.05    ,1.19   ,-4.58    ,0.52
1991-02    ,7.18    ,4.14   ,-0.83   ,-1.70   ,-0.09    ,0.48
1991-03    ,2.44    ,3.86   ,-2.99   ,-0.01   ,-1.67    ,0.44
1991-04   ,-0.17    ,0.06    ,1.25   ,-0.10   ,-0.09    ,0.53
1991-05    ,3.59    ,0.07   ,-0.01   ,-0.13   ,-2.06    ,0.47
1991-06   ,-4.71    ,0.90    ,0.56    ,1.48    ,0.96    ,0.42
1991-07    ,3.99   ,-0.89   ,-2.54    ,2.01   ,-1.47    ,0.49
1991-08    ,2.17    ,0.99   ,-1.67    ,1.12   ,-1.04    ,0.46
1991-09   ,-1.70    ,1.70   ,-0.78   ,-0.08   ,-0.03    ,0.46
1991-10    ,1.45    ,1.01   ,-0.18   ,-1.35   ,-0.61    ,0.42
1991-11   ,-4.16   ,-0.55   ,-2.22    ,1.92   ,-0.37    ,0.39
1991-12   ,10.03   ,-3.16   ,-5.32    ,3.50   ,-4.51    ,0.38
1992-01   ,-0.68    ,8.56    ,4.00   ,-1.96    ,2.66    ,0.34
1992-02    ,1.00    ,1.47    ,4.82   ,-1.16    ,1.64    ,0.28
1992-03   ,-2.74   ,-0.93    ,4.17   ,-0.76    ,1.98    ,0.34
1992-04    ,1.12   ,-5.32    ,3.46    ,0.29    ,3.36    ,0.32
1992-05    ,0.32   ,-0.25    ,0.91   ,-1.76    ,1.09    ,0.28
1992-06   ,-2.16   ,-2.37    ,2.81   ,-0.97    ,0.93    ,0.32
1992-07    ,3.66   ,-0.89   ,-0.79    ,1.49   ,-0.28    ,0.31
1992-08   ,-2.32   ,-0.21   ,-0.24    ,3.36   ,-0.20    ,0.26
1992-09    ,0.72    ,0.45   ,-0.96    ,1.43   ,-0.77    ,0.26
1992-10    ,0.97    ,2.10   ,-3.12    ,2.21   ,-1.93    ,0.23
1992-11    ,3.51    ,3.41   ,-2.89    ,0.21   ,-2.74    ,0.23
1992-12    ,1.55    ,1.66    ,2.07   ,-0.63    ,1.38    ,0.28
1993-01    ,0.75    ,2.41    ,5.17   ,-2.39    ,2.50    ,0.23
1993-02    ,0.45   ,-2.81    ,7.23   ,-2.37    ,4.67    ,0.22
1993-03    ,2.34    ,0.72    ,1.98   ,-1.50    ,2.03    ,0.25
1993-04   ,-2.60   ,-0.31    ,2.99   ,-2.94    ,2.12    ,0.24
1993-05    ,2.81    ,1.75   ,-2.80    ,0.33   ,-1.31    ,0.22
1993-06    ,0.27    ,0.73    ,1.98   ,-0.95    ,1.13    ,0.25
1993-07   ,-0.37    ,1.11    ,2.52   ,-1.58    ,1.79    ,0.24
1993-08    ,3.58    ,0.58    ,0.17    ,0.00   ,-0.06    ,0.25
1993-09   ,-0.35    ,2.62    ,0.33    ,0.19   ,-0.09    ,0.26
1993-10    ,1.70    ,1.85   ,-2.97    ,1.16    ,0.62    ,0.22
1993-11   ,-1.86   ,-1.43   ,-0.59    ,0.83   ,-0.96    ,0.25
1993-12    ,1.68    ,1.06    ,1.05   ,-0.08   ,-0.20    ,0.23
1994-01    ,2.93   ,-0.15    ,1.85   ,-1.74    ,1.38    ,0.25
1994-02   ,-2.62    ,1.99   ,-0.76    ,1.27   ,-1.05    ,0.21
1994-03   ,-4.64   ,-0.78    ,1.77   ,-0.65    ,1.48    ,0.27
1994-04    ,0.61   ,-0.99    ,1.68    ,0.32    ,1.50    ,0.27
1994-05    ,0.74   ,-2.26    ,1.24   ,-1.16    ,0.33    ,0.32
1994-06   ,-3.15   ,-0.54    ,2.16    ,0.40    ,1.89    ,0.31
1994-07    ,2.82   ,-1.75    ,0.47   ,-0.30    ,0.09    ,0.28
1994-08    ,4.02    ,0.44   ,-2.56    ,0.89   ,-1.50    ,0.37
1994-09   ,-2.07    ,2.76   ,-1.11    ,0.10    ,0.47    ,0.37
1994-10    ,1.17   ,-1.77   ,-1.51    ,1.26   ,-0.73    ,0.38
1994-11   ,-4.09   ,-0.13   ,-1.16    ,0.84    ,0.02    ,0.37
1994-12    ,0.89   ,-0.32   ,-0.25    ,0.60    ,0.44    ,0.44
1995-01    ,1.39   ,-1.98    ,1.51    ,1.11    ,0.37    ,0.42
1995-02    ,3.63   ,-0.62    ,0.61    ,0.30   ,-0.89    ,0.40
1995-03    ,2.25   ,-0.50   ,-1.59   ,-0.57   ,-0.26    ,0.46
1995-04    ,2.13   ,-0.11    ,1.47   ,-0.59    ,1.48    ,0.45
1995-05    ,2.94   ,-1.77    ,1.23    ,0.02    ,0.52    ,0.54
1995-06    ,2.50    ,3.04   ,-2.93    ,0.41   ,-2.93    ,0.47
1995-07    ,3.60    ,2.13   ,-2.38    ,0.57   ,-2.37    ,0.45
1995-08    ,0.49    ,1.55    ,2.16   ,-1.82    ,1.75    ,0.47
1995-09    ,3.19   ,-1.42   ,-0.92    ,0.76    ,0.92    ,0.43
1995-10   ,-1.58   ,-4.11   ,-0.50    ,1.89    ,0.14    ,0.47
1995-11    ,3.93   ,-0.55    ,0.01   ,-1.63    ,1.14    ,0.42
1995-12    ,1.01    ,0.51   ,-0.52   ,-0.35    ,3.08    ,0.49
1996-01    ,2.45   ,-2.46    ,0.00    ,0.10    ,2.02    ,0.43
1996-02    ,1.25    ,1.90   ,-1.93    ,0.09   ,-1.86    ,0.39
1996-03    ,0.83    ,1.39    ,0.86    ,0.78   ,-0.79    ,0.39
1996-04    ,1.99    ,4.89   ,-3.08    ,0.49   ,-2.48    ,0.46
1996-05    ,2.14    ,3.11   ,-1.35    ,0.38   ,-0.58    ,0.42
1996-06   ,-1.03   ,-3.89    ,2.01    ,2.65    ,1.75    ,0.40
1996-07   ,-5.80   ,-3.64    ,5.62    ,1.47    ,3.43    ,0.45
1996-08    ,2.87    ,2.44   ,-0.40   ,-0.89   ,-2.06    ,0.41
1996-09    ,4.87   ,-1.83   ,-2.60    ,0.90   ,-2.67    ,0.44
1996-10    ,1.31   ,-2.61    ,5.29    ,0.50    ,3.16    ,0.42
1996-11    ,6.31   ,-4.04    ,2.35    ,1.22   ,-0.24    ,0.41
1996-12   ,-1.68    ,3.19    ,0.64   ,-0.02    ,1.37    ,0.46
1997-01    ,4.97   ,-1.59   ,-1.46    ,1.23   ,-1.22    ,0.45
1997-02   ,-0.36   ,-2.61    ,5.03   ,-0.50    ,5.15    ,0.39
1997-03   ,-4.90   ,-0.62    ,3.84    ,0.71    ,2.62    ,0.43
1997-04    ,3.90   ,-6.22   ,-0.12    ,3.33   ,-1.12    ,0.43
1997-05    ,6.63    ,4.59   ,-3.63    ,0.08   ,-3.80    ,0.49
1997-06    ,3.88    ,0.94    ,1.11    ,0.68    ,0.47    ,0.37
1997-07    ,7.29   ,-2.81   ,-0.32   ,-0.05   ,-2.52    ,0.43
1997-08   ,-4.07    ,7.41    ,0.24   ,-0.67   ,-1.16    ,0.41
1997-09    ,5.45    ,2.58    ,0.08   ,-1.66   ,-1.31    ,0.44
1997-10   ,-3.76   ,-0.69    ,2.64    ,0.97    ,1.91    ,0.42
1997-11    ,2.53   ,-5.77    ,0.89    ,2.92    ,3.39    ,0.39
1997-12    ,1.39   ,-1.83    ,3.47   ,-0.10    ,2.27    ,0.48
1998-01   ,-0.02   ,-1.55   ,-2.01    ,1.30   ,-0.65    ,0.43
1998-02    ,7.00   ,-0.25   ,-0.73   ,-0.60   ,-2.71    ,0.39
1998-03    ,4.84   ,-0.73    ,1.24   ,-0.85   ,-0.16    ,0.39
1998-04    ,0.83    ,0.08    ,0.36   ,-1.90   ,-0.15    ,0.43
1998-05   ,-2.84   ,-2.78    ,2.90    ,1.08    ,2.62    ,0.40
1998-06    ,2.88   ,-3.85   ,-2.36   ,-0.08   ,-3.41    ,0.41
1998-07   ,-2.76   ,-5.15   ,-1.76    ,1.58    ,1.32    ,0.40
1998-08  ,-16.32   ,-4.32    ,1.91    ,4.18    ,6.90    ,0.43
1998-09    ,5.99   ,-0.47   ,-3.50   ,-1.43   ,-2.45    ,0.46
1998-10    ,7.06   ,-3.30   ,-1.35    ,1.02    ,0.05    ,0.32
1998-11    ,5.82    ,0.32   ,-4.17    ,0.04   ,-0.70    ,0.31
1998-12    ,5.93   ,-1.33   ,-4.87    ,0.77   ,-4.35    ,0.38
1999-01    ,3.34   ,-1.82   ,-4.43   ,-1.89   ,-5.93    ,0.35
1999-02   ,-4.16   ,-4.32    ,1.88   ,-1.77    ,4.56    ,0.35
1999-03    ,3.34   ,-3.48   ,-2.31   ,-1.71   ,-2.78    ,0.43
1999-04    ,4.34    ,4.09    ,3.36   ,-2.04    ,0.09    ,0.37
1999-05   ,-2.12    ,3.48    ,1.57    ,0.68    ,2.55    ,0.34
1999-06    ,4.72    ,1.43   ,-3.43    ,0.73   ,-2.99    ,0.40
1999-07   ,-3.37    ,2.04    ,1.22    ,1.23    ,1.80    ,0.38
1999-08   ,-1.37   ,-1.57   ,-2.20    ,0.48    ,0.09    ,0.39
1999-09   ,-2.69    ,3.04   ,-4.18   ,-0.91   ,-1.92    ,0.39
1999-10    ,5.63   ,-6.89   ,-3.08   ,-2.28   ,-0.63    ,0.39
1999-11    ,2.84    ,4.36   ,-8.33   ,-1.70   ,-4.56    ,0.36
1999-12    ,7.11    ,3.48   ,-8.70   ,-5.77   ,-6.60    ,0.44
2000-01   ,-4.28    ,2.68    ,0.03   ,-6.02    ,3.99    ,0.41
2000-02    ,1.64   ,16.64  ,-14.06  ,-15.45   ,-4.52    ,0.43
2000-03    ,6.83  ,-13.86    ,9.57   ,11.02   ,-0.19    ,0.47
2000-04   ,-4.86   ,-3.18    ,7.17    ,6.42    ,7.81    ,0.46
2000-05   ,-3.56   ,-2.23    ,5.16    ,3.09    ,2.75    ,0.50
2000-06    ,3.65    ,7.24  ,-10.37   ,-5.29   ,-5.37    ,0.40
2000-07   ,-2.24   ,-1.50    ,9.36    ,5.59    ,4.73    ,0.48
2000-08    ,7.12   ,-0.45   ,-1.83   ,-4.30   ,-0.49    ,0.50
2000-09   ,-5.36    ,0.86    ,9.58    ,3.69    ,8.87    ,0.51
2000-10   ,-2.89   ,-3.42    ,7.05    ,9.83    ,8.16    ,0.56
2000-11  ,-10.31   ,-0.70   ,15.99   ,13.94   ,14.37    ,0.51
