,year,total_delistings,monthly_delistings
0,1962,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1,1963,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2,1964,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,1965,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
4,1966,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
5,1967,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,1968,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,1969,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
8,1970,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
9,1971,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10,1972,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,1973,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,1974,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,1975,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,1976,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,1977,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
16,1978,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,1979,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,1980,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,1981,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,1982,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,1983,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,1984,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,1985,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,1986,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,1987,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,1988,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,1989,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,1990,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,1991,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,1992,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,1993,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,1994,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
33,1995,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,1996,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,1997,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,1998,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,1999,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
38,2000,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,2001,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,2002,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,2003,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,2004,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
43,2005,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,2006,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,2007,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,2008,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,2009,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
48,2010,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
49,2011,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,2012,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
51,2013,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,2014,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
53,2015,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
54,2016,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
55,2017,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
