,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes,total_delistings
0,1962,1962-06-01,82041000.0,-0.62278174,0.09174153359999951,479,479,"{'SL': 34, 'SM': 96, 'SH': 110, 'BL': 110, 'BM': 95, 'BH': 34}",0
1,1963,1963-06-01,121769374.99999999,-0.876414876,-0.14820791600000013,575,575,"{'SL': 49, 'SM': 105, 'SH': 134, 'BL': 124, 'BM': 124, 'BH': 39}",0
2,1964,1964-06-01,173548288.58147672,-0.799643946,-0.11935513600000018,417,417,"{'SL': 54, 'SM': 87, 'SH': 127, 'BL': 89, 'BM': 92, 'BH': 32}",0
3,1965,1965-06-01,177213514.28003162,-0.85281498,-0.24270618100000013,408,408,"{'SL': 50, 'SM': 87, 'SH': 131, 'BL': 90, 'BM': 87, 'BH': 30}",0
4,1966,1966-06-01,184955230.16356543,-0.916374912,-0.298268908,449,449,"{'SL': 52, 'SM': 112, 'SH': 148, 'BL': 103, 'BM': 94, 'BH': 32}",0
5,1967,1967-06-01,179776125.0,-0.974698308,-0.403154234,554,554,"{'SL': 87, 'SM': 161, 'SH': 175, 'BL': 121, 'BM': 117, 'BH': 47}",0
6,1968,1968-06-01,174722046.46673357,-0.7976140960000001,-0.174631105,852,852,"{'SL': 176, 'SM': 279, 'SH': 337, 'BL': 189, 'BM': 177, 'BH': 71}",0
7,1969,1969-06-01,160920375.0,-1.01724195,-0.4027644220000004,940,940,"{'SL': 311, 'SM': 312, 'SH': 285, 'BL': 175, 'BM': 201, 'BH': 111}",0
8,1970,1970-06-01,96472122.67794508,-1.16222184,-0.5330452600000001,1017,1017,"{'SL': 407, 'SM': 363, 'SH': 256, 'BL': 163, 'BM': 218, 'BH': 143}",0
9,1971,1971-06-01,151200000.0,-0.862027284,-0.21613879200000008,1095,1095,"{'SL': 376, 'SM': 403, 'SH': 392, 'BL': 215, 'BM': 239, 'BH': 116}",0
10,1972,1972-06-01,142220250.0,-0.706900778,-0.08142144120000026,1177,1177,"{'SL': 324, 'SM': 452, 'SH': 524, 'BL': 260, 'BM': 257, 'BH': 99}",0
11,1973,1973-06-01,98795216.30608058,-0.820136562,-0.15302710700000002,1238,1238,"{'SL': 369, 'SM': 493, 'SH': 505, 'BL': 247, 'BM': 264, 'BH': 135}",0
12,1974,1974-06-01,79447375.0,-0.775830588,-0.11091858600000011,1309,1309,"{'SL': 594, 'SM': 738, 'SH': 790, 'BL': 333, 'BM': 304, 'BH': 159}",0
13,1975,1975-06-01,98707500.0,-0.33012067999999994,0.30960559399999993,1337,1337,"{'SL': 624, 'SM': 881, 'SH': 1048, 'BL': 385, 'BM': 293, 'BH': 116}",0
14,1976,1976-06-01,117265400.90151617,0.10607377,0.7176997699999997,1341,1341,"{'SL': 635, 'SM': 955, 'SH': 1039, 'BL': 364, 'BM': 316, 'BH': 111}",0
15,1977,1977-06-01,140558125.0,-0.20420903599999998,0.410473082,1357,1357,"{'SL': 616, 'SM': 842, 'SH': 1149, 'BL': 327, 'BM': 336, 'BH': 117}",0
