permno,duration,end_year,start_year
11105,1,1963,1963
12343,1,1963,1961
17224,1,1963,1962
25398,1,1964,1962
24942,1,1964,1961
23077,1,1964,1962
39116,1,1965,1965
14525,1,1965,1962
28409,1,1966,1964
31958,1,1966,1966
21346,3,1966,1961
21039,2,1966,1962
41486,1,1966,1966
21573,1,1966,1961
12167,2,1966,1961
34593,1,1966,1964
28054,1,1967,1963
23464,2,1967,1961
23624,1,1967,1961
10874,3,1967,1961
33240,1,1967,1964
27449,1,1967,1962
18948,1,1967,1964
17267,1,1968,1962
26657,2,1968,1962
42403,1,1968,1967
17750,2,1968,1961
10401,1,1968,1962
14883,1,1968,1961
26163,4,1968,1965
16678,2,1968,1961
20765,2,1968,1961
24264,2,1968,1961
10225,1,1968,1963
17128,2,1968,1961
24053,2,1968,1964
25099,1,1968,1964
24432,3,1968,1964
24141,2,1968,1963
18382,5,1968,1961
22541,1,1968,1964
14795,1,1968,1961
11674,1,1968,1964
27991,2,1968,1964
17240,1,1968,1961
17435,1,1968,1967
22437,2,1968,1963
19131,3,1968,1961
11471,2,1968,1961
17291,6,1968,1961
24723,3,1968,1964
43836,1,1969,1969
12511,1,1969,1968
18921,2,1969,1961
11543,2,1969,1967
19596,1,1969,1968
12052,4,1969,1961
21178,4,1969,1962
13100,1,1969,1966
19617,1,1969,1968
28388,1,1969,1964
12781,1,1969,1963
10145,3,1969,1961
24643,2,1969,1961
43879,1,1969,1969
19561,2,1969,1967
20976,3,1969,1966
13821,4,1969,1963
24635,4,1969,1961
10102,2,1969,1961
17830,1,1969,1968
26585,2,1969,1964
24117,2,1969,1963
22568,1,1969,1962
10823,3,1969,1963
15659,6,1969,1961
23712,1,1969,1964
30074,2,1969,1967
24096,1,1969,1964
28644,1,1969,1968
25232,2,1969,1964
27043,1,1969,1964
43537,1,1969,1968
30728,4,1969,1964
21338,4,1969,1961
16758,2,1969,1961
24985,4,1969,1963
20618,1,1969,1961
25523,4,1969,1963
21928,1,1969,1964
16432,2,1969,1961
22517,4,1969,1963
24037,1,1969,1968
13688,1,1969,1964
24416,3,1969,1964
32475,2,1969,1968
42112,2,1969,1967
24352,4,1969,1963
23931,4,1969,1963
25507,9,1970,1961
33232,2,1970,1969
28871,1,1970,1967
41208,2,1970,1968
31595,2,1970,1964
20984,2,1970,1967
45049,1,1970,1969
