permno,duration,end_year,start_year
17267,1,1961,1961
22568,1,1961,1961
21282,1,1961,1961
17072,1,1962,1961
11068,2,1962,1961
11105,1,1962,1961
17726,2,1963,1961
26163,3,1964,1962
20976,4,1965,1961
38527,1,1966,1965
26112,1,1966,1964
20984,3,1966,1962
28871,2,1966,1965
14867,3,1966,1962
14891,2,1966,1961
22269,2,1966,1962
17435,4,1966,1961
22285,3,1966,1964
21485,3,1966,1961
33363,3,1966,1964
21864,4,1966,1961
16088,1,1966,1962
11543,6,1966,1961
41208,1,1967,1967
37815,2,1967,1965
17830,3,1967,1961
15229,4,1967,1961
38121,1,1967,1966
17822,1,1967,1967
19596,1,1967,1961
30031,1,1967,1967
10604,7,1967,1961
12511,3,1967,1961
41646,1,1967,1967
26518,3,1967,1964
29487,4,1967,1964
25961,3,1967,1962
22189,4,1967,1961
14816,1,1968,1961
39896,1,1968,1967
30648,1,1968,1966
10188,3,1968,1963
30082,1,1968,1968
22429,6,1968,1961
41486,2,1968,1967
26382,3,1968,1961
37049,1,1968,1968
42577,1,1968,1967
12749,4,1968,1961
39116,1,1968,1966
34825,1,1968,1964
34913,3,1968,1965
11332,1,1968,1966
17224,4,1968,1964
38156,1,1968,1964
24942,3,1968,1965
33232,5,1968,1964
24029,1,1968,1963
37305,3,1968,1965
42366,1,1968,1968
41558,2,1968,1967
33451,1,1968,1968
40184,2,1969,1966
32387,3,1969,1966
32096,1,1969,1968
37233,1,1969,1968
24651,3,1969,1963
26833,4,1969,1962
31851,1,1969,1964
23552,2,1969,1967
40870,1,1969,1968
28660,4,1969,1965
29145,1,1969,1968
29583,2,1969,1967
19254,4,1969,1962
34809,4,1969,1965
29209,1,1969,1968
14197,2,1969,1967
27633,1,1969,1964
17339,8,1969,1962
31608,1,1969,1969
26489,4,1969,1964
29655,3,1969,1964
31819,1,1969,1969
19676,7,1970,1962
22533,6,1970,1961
14277,3,1970,1961
33478,3,1970,1968
45217,1,1970,1969
23309,1,1970,1968
40694,1,1970,1969
13143,4,1970,1964
16803,4,1970,1961
22840,1,1970,1961
20183,4,1970,1961
22699,3,1970,1962
30525,4,1970,1967
33259,1,1970,1968
29380,1,1970,1968
41582,1,1970,1968
36142,2,1970,1968
31712,2,1970,1964
40301,2,1970,1967
45583,1,1970,1969
35780,4,1970,1965
26075,1,1971,1964
31800,1,1971,1968
19107,1,1971,1970
20386,6,1971,1961
31384,6,1971,1965
26753,3,1971,1968
15712,4,1971,1961
22891,1,1971,1961
18999,7,1971,1961
16969,1,1971,1965
41144,1,1971,1971
12044,3,1971,1968
35166,5,1971,1964
22664,6,1971,1962
33013,5,1971,1964
10225,2,1971,1969
38738,1,1971,1971
35916,5,1971,1964
34366,3,1972,1968
12837,5,1972,1964
29946,1,1972,1970
21039,1,1972,1967
28847,2,1972,1965
33574,1,1972,1972
39220,4,1972,1968
22162,8,1972,1962
24037,1,1972,1970
12933,4,1972,1962
48442,1,1972,1972
42999,1,1972,1972
42403,1,1972,1969
29145,1,1972,1972
31499,3,1972,1968
10874,1,1972,1968
43780,1,1972,1972
21434,9,1972,1961
33400,1,1972,1971
21143,2,1973,1968
19297,7,1973,1961
14883,2,1973,1969
27078,1,1973,1972
31632,2,1973,1968
22189,1,1973,1972
36791,1,1973,1968
39159,1,1973,1965
36898,2,1973,1968
47079,1,1973,1970
29612,1,1973,1970
27756,4,1973,1968
27107,5,1973,1968
39757,2,1973,1971
35334,4,1973,1968
37479,1,1973,1964
32408,1,1973,1973
46164,1,1973,1971
43668,1,1973,1971
46973,2,1973,1972
48477,1,1973,1973
25902,7,1973,1964
33347,6,1973,1968
27094,2,1973,1972
24627,1,1974,1972
