,year,formation_date,size_median,bm_30,bm_70,total_stocks,nyse_stocks,portfolio_sizes,total_delistings
0,1962,1962-06-01,78329250.0,-0.606920024,0.09457931379999936,465,465,"{'SL': 33, 'SM': 96, 'SH': 109, 'BL': 113, 'BM': 93, 'BH': 35}",0
1,1963,1963-06-01,121320000.0,-0.87418962,-0.14626232,561,561,"{'SL': 48, 'SM': 107, 'SH': 132, 'BL': 126, 'BM': 123, 'BH': 39}",0
2,1964,1964-06-01,173548288.58147672,-0.78930008,-0.1069914,461,401,"{'SL': 56, 'SM': 86, 'SH': 126, 'BL': 91, 'BM': 90, 'BH': 32}",0
3,1965,1965-06-01,179926514.28003162,-0.855810015,-0.23082973,450,386,"{'SL': 48, 'SM': 90, 'SH': 131, 'BL': 90, 'BM': 88, 'BH': 28}",0
4,1966,1966-06-01,190940250.0,-0.9274223460000001,-0.2869067080000001,515,427,"{'SL': 50, 'SM': 117, 'SH': 146, 'BL': 102, 'BM': 94, 'BH': 32}",0
5,1967,1967-06-01,187005000.0,-0.9896796729999999,-0.40773023700000005,670,524,"{'SL': 87, 'SM': 161, 'SH': 178, 'BL': 116, 'BM': 118, 'BH': 48}",0
6,1968,1968-06-01,174291750.0,-0.811441802,-0.17629747400000018,1172,815,"{'SL': 174, 'SM': 279, 'SH': 339, 'BL': 186, 'BM': 179, 'BH': 72}",0
7,1969,1969-06-01,159670629.5860141,-1.01990576,-0.407523958,1335,900,"{'SL': 310, 'SM': 309, 'SH': 286, 'BL': 174, 'BM': 203, 'BH': 113}",0
8,1970,1970-06-01,94400625.0,-1.1601128900000002,-0.5342985090000001,1477,970,"{'SL': 404, 'SM': 361, 'SH': 254, 'BL': 168, 'BM': 216, 'BH': 147}",0
9,1971,1971-06-01,149040000.0,-0.8630116320000001,-0.2124385180000002,1648,1033,"{'SL': 374, 'SM': 402, 'SH': 389, 'BL': 216, 'BM': 243, 'BH': 117}",0
